website,location,foodtype,budget
McDonald’s UK (mcdonalds.com),HAVANT,FAST FOOD,5
Burger King,HAVANT,FAST FOOD,10
Home (subway.com),HAVANT,FAST FOOD,15
https://www.germandonerkebab.com/,HAVANT,FAST FOOD,20
"Balti Express, Leigh Park, Havant - Get A Huge Discount",HAVANT,INDIAN,5
https://shaplahavant.com/,HAVANT,INDIAN,10
RED CHILLI HAVANT,HAVANT,INDIAN,15
"Welcome to Massala Lounge - @Golden Lion, 54 Bedhampton Road, Havant, PO9 3EY139 Kingston Road, Portsmouth, PO2 7EB (massalaloungebedhampton.uk)",HAVANT,INDIAN,20
https://chinese-food-centre.business.site/,HAVANT,CHINESE,5
https://goldentown.co.uk/,HAVANT,CHINESE,10
https://aromaoriental.co.uk/,HAVANT,CHINESE,15
https://www.sunnygardenchinese.com/,HAVANT,CHINESE,20
McDonald’s UK (mcdonalds.com),PORTSMOUTH,FAST FOOD,5
"Burger King in United Kingdom: Get BK Your Way in Portsmouth, United Kingdom",PORTSMOUTH,FAST FOOD,10
"Subway® Restaurants - Sandwiches, Salads, Wraps & More | SUBWAY at 201 Commercial Road Portsmouth EN",PORTSMOUTH,FAST FOOD,15
German Doner Kebab,PORTSMOUTH,FAST FOOD,20
"Kadir's Kitchen | Home |Best Indian Restaurant at 217 Albert Road, Portsmouth PO4 0JP. (kadirsindian.com)",PORTSMOUTH,INDIAN,5
https://bombayexpressbaltihousetakeaway.com/,PORTSMOUTH,INDIAN,10
Contact Us @ Spice Merchants Portsmouth (spicemerchants-portsmouth.co.uk),PORTSMOUTH,INDIAN,15
"Welcome to Purple Mango - 27 Albert Road, Portsmouth, PO5 2SE (purple-mango.co.uk)",PORTSMOUTH,INDIAN,20
https://newchinaportsmouth.co.uk/ordernow/,PORTSMOUTH,CHINESE,5
http://dimsumhut.uk/,PORTSMOUTH,CHINESE,10
https://twins-chinese.business.site/?utm_source=gmb&utm_medium=referral,PORTSMOUTH,CHINESE,15
http://www.noblehousesouthsea.com/,PORTSMOUTH,CHINESE,20
McDonald’s UK (mcdonalds.com),SOUTHAMPTON,FAST FOOD,5
"Burger King in United Kingdom: Get BK Your Way in Southampton, United Kingdom",SOUTHAMPTON,FAST FOOD,10
"Subway® Restaurants - Sandwiches, Salads, Wraps & More | SUBWAY at 6 East Street Southampton EN",SOUTHAMPTON,FAST FOOD,15
Five Guys Southampton: Burgers & Fries in Southampton,SOUTHAMPTON,FAST FOOD,20
Punjabi Takeaway,SOUTHAMPTON,INDIAN,5
Basmati Nepalese and Indian Restaurant - Southampton (everestbasmati.co.uk),SOUTHAMPTON,INDIAN,10
Bayleaf Kitchen | Best Indian Restaurant & Takeaway in Southampton SO14,SOUTHAMPTON,INDIAN,15
Indian | Coriander Lounge - A North Indian Delicacy | England,SOUTHAMPTON,INDIAN,20
https://reddragonchineseshirley.co.uk/,SOUTHAMPTON,CHINESE,5
https://luckystarsouthampton.co.uk/,SOUTHAMPTON,CHINESE,10
https://tasteofchinasouthampton.co.uk/,SOUTHAMPTON,CHINESE,15
https://www.shanghai1814.co.uk/,SOUTHAMPTON,CHINESE,20
McDonald’s UK (mcdonalds.com),BRIGHTON,FAST FOOD,5
"Burger King in United Kingdom: Get BK Your Way in Hove, United Kingdom",BRIGHTON,FAST FOOD,10
"Subway® Restaurants - Sandwiches, Salads, Wraps & More | SUBWAY at 112 Church Road Hove EN",BRIGHTON,FAST FOOD,15
https://uklocations.wendys.com/brighton/192-western-road,BRIGHTON,FAST FOOD,20
https://kamal-brighton.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,BRIGHTON,INDIAN,5
https://thechillipickle.com/,BRIGHTON,INDIAN,10
http://www.indiansummerbrighton.co.uk/,BRIGHTON,INDIAN,15
https://www.malikaindianrestaurant.com/,BRIGHTON,INDIAN,20
https://kumschinesetakeaway.business.site/?utm_source=gmb&utm_medium=referral,BRIGHTON,CHINESE,5
gars.co.uk,BRIGHTON,CHINESE,10
chinagarden.name,BRIGHTON,CHINESE,15
magicwokbrighton.com,BRIGHTON,CHINESE,20
